q1,q2,q3,q4,q5,q6,q7,q8,q9,q10,q11,q12,q13,q14_u,q14_r,q14_i,q14_rur,q14_m,q14_pnd,q15,q16,q17,q18,q19_a,q19_b,q20,q21
I consent,Male,Other,< 20 years (younger than 20 years),R5000-R9999,2-3 times per week,2-3 times per week,5,200,10,Medium,Gauteng,Johannesburg,.,true,.,.,.,.,,10,2,Yes,10,250,No,Yes
I consent,Male,I would prefer to not answer,30-39 years,R10 000- R14 999,Everyday,Once per month (or less),16,500,8,High,Gauteng,Pretoria/JHB,true,.,.,.,.,.,,10,More than 30 days,Yes,50,205,No,No
I consent,Female,I would prefer to not answer,20-29 years,R10 000- R14 999,Everyday,2-3 times per month,6,500,10,Medium,Gauteng,Jhb,true,.,.,.,.,.,,6,30,Yes,,130,No,No
I consent,Male,White,20-29 years,R5000-R9999,2-3 times per week,Once per month (or less),10,200,5,Medium,Gauteng,Pretoria,.,true,.,.,.,.,,10,More than 30 days,Yes,10.869565,150,No,Yes
I consent,Female,White,< 20 years (younger than 20 years),< R1000 (less than R1000),2-3 times per month,Once per month (or less),4,400,6,Medium,Gauteng,Johannesburg,true,.,.,.,.,.,,8,14,Yes,50,100,Yes,No
I consent,Male,White,20-29 years,R5000-R9999,Everyday,2-3 times per month,13,1200,40,Medium,Gauteng,Pretoria,.,true,.,.,.,.,,8,30,No,,,Yes,No
I consent,Male,White,20-29 years,R20 000- R24 999,Everyday,2-3 times per month,6,2500,42,High,Gauteng,Johannesburg,.,true,.,.,.,.,,2,30,Yes,30,123.33334,No,No
I consent,Male,White,20-29 years,R1000- R4999,Everyday,Once per week,2,100,6,Low,Gauteng,Johannesburg,true,.,.,.,.,.,,8,12,No,,,No,Yes
I consent,Male,Other,20-29 years,R15 000- R19 999,Everyday,Once per week,7,200,3,High,Gauteng,Johannesburg,.,true,.,.,.,.,,10,5,Yes,25,150,No,No
I consent,Male,.,20-29 years,< R1000 (less than R1000),Everyday,2-3 times per week,2,100,6,High,Gauteng,Kempton Park,.,true,.,.,.,.,,10,3,Yes,10,33.333332,No,No
I consent,Female,White,50 years and above,R15 000- R19 999,2-3 times per month,Once per month (or less),11,600,100,High,Gauteng,Germiston,.,.,.,.,true,.,,6,30,No,,,Yes,No
I consent,Male,African,20-29 years,R1000- R4999,Everyday,2-3 times per week,5,30,3,Medium,Gauteng,Pretoria,true,.,.,.,.,.,,8,2,Yes,,18.75,No,No
I consent,Male,White,20-29 years,R15 000- R19 999,2-3 times per week,Once per week,4,100,5,Medium,Gauteng,"Ceder, Fourways",.,.,.,.,true,.,,7,3,No,,,Yes,No
I consent,Male,African,20-29 years,R1000- R4999,Once per week,2-3 times per month,4,250,25,Medium,Gauteng,Pretoria,true,.,.,.,.,.,,8,2,No,,,No,No
I consent,Female,White,50 years and above,R15 000- R19 999,Everyday,Once per month (or less),11,450,100,Medium,Gauteng,Primrose Germiston,.,true,.,.,.,.,,7,27,No,,,Yes,No
I consent,Female,White,30-39 years,R30 000 and above,Everyday,Once per month (or less),20,2000,80,High,Gauteng,Johannesburg,.,.,.,.,true,.,,6,More than 30 days,No,,,No,No
I consent,Male,White,20-29 years,R15 000- R19 999,Everyday,Once per month (or less),7,600,20,Medium,Gauteng,Jhb,.,.,.,.,.,true,,6,30,No,,,No,I do not wish to disclose this information
I consent,Male,Indian,20-29 years,R20 000- R24 999,Once per week,Once per month (or less),1,4000,50,High,Gauteng,Johannesburg,true,.,.,.,.,.,,3,More than 30 days,Yes,42.5,133.33333,Yes,No
I consent,Male,White,20-29 years,R10 000- R14 999,Everyday,Once per month (or less),11,1000,130,Medium,Gauteng,"Kempton Park, JHB",.,true,.,.,.,.,,8,25,No,,,No,No
I consent,Male,White,20-29 years,R10 000- R14 999,Everyday,Once per month (or less),7,500,8,Medium,Gauteng,Johannesburg,.,.,.,.,true,.,,7,21,Yes,40,95,Yes,I do not wish to disclose this information
I consent,I would prefer not to answer,I would prefer to not answer,20-29 years,R10 000- R14 999,Everyday,Once per week,4,450,10,High,Gauteng,.,.,.,.,.,.,true,,10,6,Yes,12.5,80,No,No
I consent,Male,White,< 20 years (younger than 20 years),R1000- R4999,Everyday,Once per week,1,400,2,High,Gauteng,Johannesburg,.,.,.,.,.,.,,10,5,Yes,40,400,No,No
I consent,I would prefer not to answer,I would prefer to not answer,20-29 years,R10 000- R14 999,Everyday,2-3 times per month,10,300,10,Medium,Gauteng,Sandton,.,.,.,.,.,true,,6,14,Yes,20,50,I do not wish to disclose this information,No
I consent,Male,White,50 years and above,R30 000 and above,Everyday,Once per month (or less),20,1500,50,High,Gauteng,.,.,.,.,.,true,.,,1,30,No,,,Yes,No
I consent,Female,White,30-39 years,R5000-R9999,Everyday,2-3 times per week,14,100,3,Medium,Gauteng,Sandton,.,.,.,.,.,true,,10,2,No,,,I do not wish to disclose this information,No
I consent,Male,White,20-29 years,R1000- R4999,Everyday,2-3 times per month,3,250,10,Medium,Gauteng,Joburg/ Randburg,.,true,.,.,.,.,,7,5,Yes,15,50,No,No
I consent,Male,White,20-29 years,R5000-R9999,Once per month (or less),Once per month (or less),6,165,1,High,Gauteng,.,.,true,.,.,.,.,,7,4,No,,,Yes,No
I consent,Male,Indian,30-39 years,R5000-R9999,Everyday,Everyday,18,1200,1200,High,Gauteng,Benoni,.,true,.,.,.,.,,3,More than 30 days,Yes,,85,No,No
I consent,Female,White,< 20 years (younger than 20 years),< R1000 (less than R1000),Everyday,2-3 times per month,7,1000,20,Medium,Gauteng,Johannesburg,true,.,.,.,.,.,,10,14,Yes,20,100,I do not wish to disclose this information,I do not wish to disclose this information
I consent,Male,White,20-29 years,R1000- R4999,Everyday,2-3 times per week,9,750,500,Medium,Gauteng,Jhb,.,true,.,.,.,.,,7,30,Yes,,27.5,No,No
I consent,Male,White,20-29 years,R5000-R9999,Everyday,2-3 times per week,11,200,1,High,Gauteng,Johannesburg,.,.,.,.,true,.,,7,2,Yes,86.666664,250,No,No
I consent,Female,White,50 years and above,R1000- R4999,Everyday,Once per week,17,50,2,Medium,Gauteng,Mind your own busine,.,.,.,.,.,true,,8,5,Yes,10,126.66666,No,I do not wish to disclose this information
I consent,Female,White,20-29 years,R10 000- R14 999,Everyday,2-3 times per week,5,50,3,Medium,Gauteng,Johannesburg,.,true,.,.,.,.,,10,2,Yes,10,73.333336,Yes,No
I consent,Female,White,20-29 years,R1000- R4999,2-3 times per month,Once per month (or less),2,2000,50,High,Gauteng,Johannesburg,true,.,.,.,.,.,,9,More than 30 days,Yes,10,125,Yes,No
I consent,Male,White,20-29 years,R1000- R4999,2-3 times per month,2-3 times per month,3,30,2.5,Medium,Gauteng,Randburg,.,true,.,.,.,.,,8,2,Yes,8,60,No,Yes
I consent,Female,White,< 20 years (younger than 20 years),R1000- R4999,Everyday,2-3 times per month,5,750,30,Medium,Gauteng,Pretoria,.,true,.,.,.,.,,10,30,No,,,Yes,No
